Aries ft. Peter Hook & Georgia (Episode Three);Gorillaz;Song Machine;2020;https://upload.wikimedia.org/wikipedia/en/7/7a/Aries_single_cover.jpg;https://open.spotify.com/embed/track/2haIfONRw1Bhi2zSp67MYU;https://www.youtube.com/embed/PKXloFW_ZCA?si=A-Uml4EbVo8WUyhW,
ALELUYA (REMIX);Rels B Duki Aleman;ALELUYA REMIX;2020;https://encrypted-tbn0.gstatic.com/images?q=tbn%3AANd9GcTYwG82W-fWpVLPEZ2_mRIgFLwD0mT5QEPnrg&usqp=CAU;https://open.spotify.com/embed/track/2xM9f6WuG5GF6GeTDtPuhs;https://www.youtube.com/embed/Tgpb-cKnleg,
Megalovania;Toby Fox;Undertale OST;2015;https://f4.bcbits.com/img/a2854475053_5.jpg;https://open.spotify.com/embed/track/1J03Vp93ybKIxfzYI4YJtL;https://www.youtube.com/embed/wDgQdr8ZkTw,
Maniac;Michael Sambelo;Flashdance;1983;https://i.musicaimg.com/letras/max/67021.jpg;https://open.spotify.com/embed/track/0QKfiqpEU4h9ycPSzIFwYe;https://www.youtube.com/embed/qvYQ1TNbf2g,
Reina;C.R.O;Single-Reina;2018;https://s.mxmcdn.net/images-storage/albums4/5/8/7/2/1/3/40312785_800_800.jpg;https://open.spotify.com/embed/track/6GM0297kyJJoleWjJtvcOu;https://www.youtube.com/embed/LpfiggFKEpo,
Caraluna;Bacilos;Caraluna;2002;https://cdns-images.dzcdn.net/images/cover/b8f1b09675645753201720e15c87dc02/350x350.jpg;https://open.spotify.com/embed/track/7DhYjNLksXZhbRQeheAums;https://www.youtube.com/embed/-zgDXIi1uYw,
Tabaco y Chanel;Bacilos;Bacilos (Re-Issue);2001;https://images.genius.com/1d1f75379ed6d6d246ce845df11dba4a.491x491x1.jpg;https://open.spotify.com/embed/track/48svUiwMMYQRPyesVEnof1;https://www.youtube.com/embed/6JqnbsQpljU,
Los Malaventurados No Lloran;PXNDX;Amantes Sunt Amentes;2006;https://i.pinimg.com/originals/19/c7/0d/19c70d99fa08e67febf7cd0f850695a2.jpg;https://open.spotify.com/embed/track/66PRDvzBHhbcdbc4T4mrZY;https://www.youtube.com/embed/CF72RkHcKqs,
Perderme Contigo;Bacilos;¿Donde Nos Quedamos?;2018;https://www.music-bazaar.com/album-images/vol32/1742/1742128/3619540-big/%C2%BFDonde-Nos-Quedamos-cover.jpg;https://open.spotify.com/embed/track/7mHFWWfVlhqGjeIQ5qt9i2;https://www.youtube.com/embed/pL8rjpISrbU,
Last One Standing;Simple plan;Get Your Heart On! (Deluxe Edition);2011;https://upload.wikimedia.org/wikipedia/en/a/a8/Get_Your_Heart_On%21_%28Simple_Plan_album_-_cover_art%29.jpg;https://open.spotify.com/embed/track/10lP5x0csV13P1aZyLYADs;https://www.youtube.com/embed/6acJt5bZenE,
From The Ritz To Rubble;Arctic Monkeys;Whatever People Say I Am, That's What I'm Not;2006;https://upload.wikimedia.org/wikipedia/en/5/5f/Whatever_People_Say_I_Am%2C_That%27s_What_I%27m_Not.jpg;https://open.spotify.com/embed/track/2vQQfWTanvD99OeHLAoyhW;https://www.youtube.com/embed/H8bNHRVwzyA
Saturnz Barz (feat. Popcaan);Gorillaz, Popcaan;Humanz (Deluxe);2017;https://upload.wikimedia.org/wikipedia/en/a/a6/HumanzGorillaz.png;https://open.spotify.com/embed/track/7l9CE3wmEGOUYw1j4ETjnL;https://www.youtube.com/embed/5qJp6xlKEug
Freaking Me Out (feat. Alex Gaskarh);Simple Plan;Get Your Heart On! (Deluxe Edition);2011;https://upload.wikimedia.org/wikipedia/en/a/a8/Get_Your_Heart_On%21_%28Simple_Plan_album_-_cover_art%29.jpg;https://open.spotify.com/embed/track/16QI9M7H3GoTARMugiIDgm;https://www.youtube.com/embed/EZnnA4gMO2s,
Patience;Guns N' Roses;G N' R Lies;1988;https://images-na.ssl-images-amazon.com/images/I/81RbO7t-fmL._SL1200_.jpg;https://open.spotify.com/embed/track/7D5n2kpYH2WSqIyEO9MeXf;https://www.youtube.com/embed/ErvgV4P6Fzc,
El Mañana;Gorillaz;Demon Days;2005;https://images-na.ssl-images-amazon.com/images/I/71lix6%2BVfWL._AC_SL1425_.jpg;https://open.spotify.com/embed/track/0dcMqjeDpwqB2xhzMsld0p;https://www.youtube.com/embed/hji4gBuOvIQ,
No Sorprises;Radiohead;OK Computer;1997;https://i.pinimg.com/originals/0b/79/ca/0b79ca70841b9fc978fe31077f3b1de3.jpg;https://open.spotify.com/embed/track/1bSpwPhAxZwlR2enJJsv7U;https://www.youtube.com/embed/u5CVsCnxyXg ,
The Real Slim Shady;Eminem;The Marshall Mathers LP;2000;https://www.udiscovermusic.com/wp-content/uploads/2019/05/Eminem-The-Marshall-Mathers-LP.jpg;https://open.spotify.com/embed/track/3yfqSUWxFvZELEM4PmlwIR;https://www.youtube.com/embed/eJO5HU_7_1w ,
The Less I Know The Better;Tame Impala;Currents;2015;https://upload.wikimedia.org/wikipedia/en/9/9b/Tame_Impala_-_Currents.png;https://open.spotify.com/embed/track/6K4t31amVTZDgR3sKmwUJJ;https://www.youtube.com/embed/sBzrzS1Ag_g,
Urchin;Arca;Arca;2017;https://lastfm.freetls.fastly.net/i/u/770x0/1351555a0b8b8816bca163c2da925ddc.jpg;https://open.spotify.com/embed/track/6o3fcBmZ6TyQaWku5mgtoJ;https://www.youtube.com/embed/rwCrWaEaCnQ ,
Brianstorm;Arctic Monkeys;Favourite Worst Nightmae;2007;https://img.discogs.com/p4xp9UErj50z2qyCay4tPbspIgs=/fit-in/600x600/filters:strip_icc():format(jpeg):mode_rgb():quality(90)/discogs-images/R-6985823-1504553344-3731.jpeg.jpg;https://open.spotify.com/embed/track/7f9I5WdyXm5q1XqnSYgQZb;https://www.youtube.com/embed/30w8DyEJ__0 ,
El Pepe Ete Sech;KELO;El Pepe Ete Sech - Single;2020;https://i.ytimg.com/vi/DKWdKsfyRhc/mqdefault.jpg;https://open.spotify.com/embed/track/5lWcJKmq6hMvFGfqh7BE5W;https://www.youtube.com/embed/Y1zl6WgZSAw ,
Dancin (feat. Luvli) [Krono Remix];Aaron Smith, Krono;Dancin - Single;2014;https://cdns-images.dzcdn.net/images/cover/a26e476def6a65078e518e95a961fd7f/500x500.jpg;https://open.spotify.com/embed/track/6WkJ2OK163XXS2oARUC9JM;https://www.youtube.com/embed/6Nb-prB-4P0
Sour Times;Portishead;Dummy;1994;https://lastfm.freetls.fastly.net/i/u/770x0/29f72d0333df4193981b5ff16dd37df6.jpg;https://open.spotify.com/embed/track/6vTtCOimcPs5H1Jr9d0Aep;https://www.youtube.com/embed/GunKc3AG21A ,
Viva La Vida;Coldplay;Viva La Vida or Death and All His Friends;2008;https://upload.wikimedia.org/wikipedia/en/thumb/2/25/Viva_la_Vida_or_Death_and_All_His_Friends.jpg/220px-Viva_la_Vida_or_Death_and_All_His_Friends.jpg;https://open.spotify.com/embed/track/1mea3bSkSGXuIRvnydlB5b;https://www.youtube.com/embed/dvgZkm1xWPE,
Beneath the Mask (from Persona 5);Tournament Arc;Beneath the Mask - Single;2018;https://f4.bcbits.com/img/a2992895161_10.jpg;https://open.spotify.com/embed/track/6VhG8miESzGWNAzlTLUpoD;https://www.youtube.com/embed/e-4SLeBR73o,
